model,sample_size,accuracy,sum,count
Frame-weighted (SE(3)),8,0.0,0,18
Phase scalar GP (SE(3)),8,0.0,0,18
TP-GMM additive (SE(3)),8,1.0,18,18
TP-GMM SE(3),8,1.0,18,18
Full operator (SE(3)),8,1.0,18,18
Pdiag pointwise (SE(3)),8,1.0,18,18
Pdiag finite (SE(3)),8,1.0,18,18
Frame-weighted (SE(3)),15,0.0,0,18
Phase scalar GP (SE(3)),15,0.0,0,18
TP-GMM additive (SE(3)),15,1.0,18,18
TP-GMM SE(3),15,1.0,18,18
Full operator (SE(3)),15,1.0,18,18
Pdiag pointwise (SE(3)),15,1.0,18,18
Pdiag finite (SE(3)),15,1.0,18,18
Frame-weighted (SE(3)),30,0.0,0,18
Phase scalar GP (SE(3)),30,0.0,0,18
TP-GMM additive (SE(3)),30,1.0,18,18
TP-GMM SE(3),30,1.0,18,18
Full operator (SE(3)),30,1.0,18,18
Pdiag pointwise (SE(3)),30,1.0,18,18
Pdiag finite (SE(3)),30,1.0,18,18
