model,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Frame-weighted (SE(3)),8,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834,0.20375456593852834
Phase scalar GP (SE(3)),8,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028,0.20530396808369028
TP-GMM additive (SE(3)),8,0.9962471986658835,0.014841471857571505,0.010724741357557691,0.015338990401439082,0.019882891897098503,0.006295280998709425
TP-GMM SE(3),8,0.9773340179829054,0.01442977282471699,0.012361650668148634,0.021093127294841734,0.02506372359291209,0.01015365984650507
Full operator (SE(3)),8,0.999705085457768,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),8,0.9999999999999992,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),8,1.003372689101278,3.9765972186837486e-08,5.181795288108893e-08,2.3985079501495706e-07,2.544633621030122e-08,8.275356704076683e-09
Frame-weighted (SE(3)),15,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023,0.17449796440813023
Phase scalar GP (SE(3)),15,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633,0.17582489178745633
TP-GMM additive (SE(3)),15,0.9963429553652703,0.0031283203312656,0.0037793222239887567,0.00981020668335053,0.00934691026689786,0.002074929236183095
TP-GMM SE(3),15,0.9373973106263297,0.0034343540420621508,0.0036907992928282285,0.00954110415413112,0.011726535496797993,0.004874290434838224
Full operator (SE(3)),15,0.9999707503454796,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),15,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),15,0.9836103858304488,2.5783096920161126e-09,2.645370662840304e-08,2.7066993157240484e-08,1.5022514341822228e-07,3.878604376502762e-09
Frame-weighted (SE(3)),30,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047,0.1946769953134047
Phase scalar GP (SE(3)),30,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527,0.19615736925287527
TP-GMM additive (SE(3)),30,0.9977884225658684,0.004100048532059572,0.0063417195424454054,0.010463710112320909,0.009789944982915522,0.004865633343692795
TP-GMM SE(3),30,0.9177246414762349,0.0037151059687493895,0.004487503950569316,0.012322387342189082,0.011223627103224073,0.004869618563863254
Full operator (SE(3)),30,0.9999919727983637,0.0,0.0,0.0,0.0,0.0
Pdiag pointwise (SE(3)),30,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
Pdiag finite (SE(3)),30,1.0103658622916198,7.82948204167885e-09,7.903195599610582e-09,1.2796595733920131e-08,4.2198544026499194e-08,5.830721237965614e-09
