model,sample_size,mean,std,count
Frame-weighted (SE(3)),8,0.08354181494310392,0.0025112560307744493,18
Phase scalar GP (SE(3)),8,0.0835420501368686,0.0025111013817085324,18
TP-GMM additive (SE(3)),8,0.013119438837146455,0.0003787937907897924,18
TP-GMM SE(3),8,0.01418108911627951,0.000840578581362703,18
Full operator (SE(3)),8,1.6821806661415273e-08,2.5257647723311887e-08,18
Pdiag pointwise (SE(3)),8,7.271375254061014e-32,7.708776923245698e-32,18
Pdiag finite (SE(3)),8,0.0002420437867141641,0.0003592332912300099,18
Frame-weighted (SE(3)),15,0.08213665140475399,0.0012458231693844141,18
Phase scalar GP (SE(3)),15,0.08213698448833087,0.0012457307311508068,18
TP-GMM additive (SE(3)),15,0.012471079684553061,0.00028230259427379777,18
TP-GMM SE(3),15,0.013645706904771918,0.0004003005009652368,18
Full operator (SE(3)),15,9.65404842877903e-11,7.294263072247008e-11,18
Pdiag pointwise (SE(3)),15,1.895148501560797e-32,3.539778231300242e-32,18
Pdiag finite (SE(3)),15,0.00013122761689030098,0.00019002145157588271,18
Frame-weighted (SE(3)),30,0.08196092132083445,0.0005454217802423427,18
Phase scalar GP (SE(3)),30,0.08196123107881975,0.0005453721397291479,18
TP-GMM additive (SE(3)),30,0.002012048669080376,0.00022249927037548797,18
TP-GMM SE(3),30,0.003057104391606644,0.0018461436453321384,18
Full operator (SE(3)),30,6.305584669498684e-12,7.692493645388185e-13,18
Pdiag pointwise (SE(3)),30,3.083927422282468e-32,3.112025325574907e-32,18
Pdiag finite (SE(3)),30,1.809484707612085e-05,1.1296029745728595e-05,18
