dataset,episode_index,n_frames,extraction_status,grasp_start,release_frame,window_start,window_end_exclusive,n_grasp_segments,transport_distance_m
insert_jc_fix_3,0,616,ok,195,512,491,506,1,0.20597192963287492
insert_jc_fix_3,1,571,ok,184,460,439,454,1,0.20708338351685304
insert_jc_fix_3,2,706,ok,192,519,498,513,1,0.19413155968176832
insert_jc_fix_3,3,630,ok,219,529,508,523,1,0.21219177305184853
insert_jc_fix_3,4,632,ok,209,441,420,435,1,0.2005228785117578
insert_jc_fix_3,5,623,ok,200,497,476,491,1,0.19959115460343888
insert_jc_fix_3,6,685,ok,176,439,418,433,1,0.20885979690318066
insert_jc_fix_3,7,581,ok,154,490,469,484,1,0.2063853678985823
insert_jc_fix_3,8,610,ok,235,543,522,537,1,0.1992205715431763
insert_jc_fix_3,9,601,ok,256,490,469,484,1,0.20693477458071374
insert_jc_fix_3,10,596,ok,170,498,477,492,1,0.19525028247212753
insert_jc_fix_3,11,550,ok,138,445,424,439,1,0.20307827859624616
insert_jc_fix_3,12,588,ok,222,517,496,511,1,0.21036187540334939
insert_jc_fix_3,13,464,ok,157,364,343,358,1,0.20029606170078162
insert_jc_fix_3,14,614,ok,212,536,515,530,1,0.19688604696146264
insert_jc_fix_3,15,556,ok,167,464,443,458,1,0.2079508831098428
insert_jc_fix_3,16,547,ok,180,381,360,375,1,0.19007094645879916
insert_jc_fix_3,17,539,ok,145,438,417,432,1,0.1953501866214023
insert_jc_fix_3,18,595,ok,224,497,476,491,1,0.20393865658861
insert_jc_fix_3,19,679,ok,248,500,479,494,1,0.19552572461482665
insert_jc_fix_3,20,594,ok,185,485,464,479,1,0.19661496697929565
insert_jc_fix_3,21,608,ok,202,523,502,517,1,0.20790537790835437
insert_jc_fix_3,22,550,ok,158,448,427,442,1,0.22666241478370316
insert_jc_fix_3,23,554,ok,156,481,460,475,1,0.1944844961155756
insert_jc_fix_3,24,498,ok,133,424,403,418,1,0.20459313804808854
insert_jc_fix_3,25,580,ok,132,456,435,450,1,0.20291858862814416
insert_jc_fix_3,26,530,ok,143,437,416,431,1,0.18647026744735476
insert_jc_fix_3,27,632,ok,198,505,484,499,1,0.21132218830068195
insert_jc_fix_3,28,575,ok,185,468,447,462,1,0.20298401808635821
insert_jc_fix_3,29,552,ok,176,469,448,463,1,0.19015547423001214
insert_jc_fix_3,30,563,ok,189,481,460,475,1,0.21197977869501164
insert_jc_fix_3,31,591,ok,141,435,414,429,1,0.20641759299322845
insert_jc_fix_3,32,625,ok,173,470,449,464,1,0.1964573573042734
insert_jc_fix_3,33,498,ok,135,428,407,422,1,0.2090682119861788
insert_jc_fix_3,34,574,ok,140,455,434,449,1,0.20234836073084547
insert_jc_fix_3,35,706,ok,254,633,612,627,1,0.19052439077610867
insert_jc_fix_3,36,528,ok,136,422,401,416,1,0.21411166811650395
insert_jc_fix_3,37,565,ok,160,485,464,479,1,0.20290379358036123
insert_jc_fix_3,38,550,ok,151,452,431,446,1,0.1972468959917986
insert_jc_fix_3,39,630,ok,216,543,522,537,1,0.20855202270861772
insert_jc_fix_3,40,527,ok,156,445,424,439,1,0.20298939629525128
insert_jc_fix_3,41,586,ok,167,459,438,453,1,0.19632056394456784
insert_jc_fix_3,42,537,ok,142,433,412,427,1,0.23911285530092025
insert_jc_fix_3,43,614,ok,199,522,501,516,1,0.20357605514260646
insert_jc_fix_3,44,547,ok,179,475,454,469,1,0.19801436907800185
insert_jc_fix_3,45,690,ok,247,579,558,573,1,0.21185620253314708
insert_jc_fix_3,46,621,ok,202,530,509,524,1,0.19988665814970144
insert_jc_fix_3,47,885,ok,231,799,778,793,1,0.197439713013474
insert_jc_fix_3,48,725,ok,203,637,616,631,1,0.20671001993877036
insert_jc_fix_3,49,719,ok,166,602,581,596,1,0.211245906775077
insert_10degree,0,1247,ok,352,1038,1017,1032,1,0.19401102372189438
insert_10degree,1,1195,ok,335,993,972,987,1,0.1927947479861175
insert_10degree,2,1101,ok,300,810,789,804,1,0.20389653214558306
insert_10degree,3,1023,ok,339,888,867,882,1,0.1926183120156175
insert_10degree,4,1455,ok,310,862,841,856,1,0.19846698242260197
insert_10degree,5,1063,ok,338,832,811,826,1,0.19548780592079867
insert_10degree,6,1026,ok,304,796,775,790,1,0.18437934803076464
insert_10degree,7,1069,ok,247,920,899,914,1,0.18502629088396438
insert_10degree,8,1005,ok,323,862,841,856,1,0.1893066197901728
insert_10degree,9,1055,ok,302,783,762,777,1,0.19248308060211097
insert_10degree,10,1115,ok,231,901,880,895,1,0.1966353107918961
insert_10degree,11,1151,ok,361,937,916,931,1,0.20103042705810928
insert_10degree,12,1187,ok,409,997,976,991,1,0.19271711302895342
insert_10degree,13,925,ok,274,750,729,744,1,0.18835242326773072
insert_10degree,14,895,ok,290,746,725,740,1,0.19785542983964144
insert_10degree,15,978,ok,340,798,777,792,1,0.20027185792806146
insert_10degree,16,1065,ok,370,843,822,837,1,0.1975171550118941
insert_10degree,17,1102,ok,250,734,713,728,1,0.1994031295113408
insert_10degree,18,916,ok,332,758,737,752,1,0.1958709881446977
insert_10degree,19,1070,ok,271,867,846,861,1,0.1917139731467494
insert_10degree,20,1096,ok,317,811,790,805,1,0.19909758256295804
